end_time,artist_name,track_name,ms_played,id
2021-05-09 03:55,Daniel Caesar,Won't Live Here,79620,
2021-05-09 17:43,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-05-09 22:57,Queen,Don't Stop Me Now - Remastered 2011,30105,
2021-05-09 23:00,Queen,Don't Stop Me Now - Remastered 2011,179308,
2021-05-13 21:59,Queen,Don't Stop Me Now - Remastered 2011,343,
2021-05-14 02:11,Elton John,I've Seen That Movie Too - Remastered 2014,98696,
2021-05-22 20:45,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-05-22 21:55,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),1287,
2021-05-23 12:02,CyHi The Prynce,I'm Fine (feat. Travis Scott),1620,
2021-05-23 12:02,Lil Peep,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),233613,
2021-05-24 13:10,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-05-27 21:37,The Beatles,Don't Let Me Down - Remastered 2009,215733,
2021-05-27 22:28,The Beatles,Can't Buy Me Love - Remastered 2009,131867,
2021-05-30 01:51,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-05-31 21:58,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-06-05 15:14,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),25460,
2021-06-09 23:39,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229146,
2021-06-11 01:45,Wolfgang Amadeus Mozart,"Serenade No. 13 in G Major, K. 525 ""Eine kleine Nachtmusik"": I. Allegro (Featured in ""Nikita"")",351493,
2021-06-12 02:55,Led Zeppelin,D'yer Mak'er - Remaster,66331,
2021-06-16 22:59,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),2728,
2021-06-19 22:59,Britney Spears,"Ooh La La (from ""The Smurfs 2"")",21561,
2021-06-22 13:41,Taylor Bennett,Don't Wait Up (feat. Mr Hudson),28570,
2021-07-03 06:09,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),236072,
2021-07-03 23:20,Queen,Don't Stop Me Now - Remastered 2011,176,
2021-07-05 04:29,DJ Khaled,Don't Quit (feat. Travis Scott & Jeremih),229147,
2021-07-05 05:52,Queen,Don't Stop Me Now - Remastered 2011,201650,
